"Agonus cataphractus","Alosa alosa","Alosa fallax","Amblyraja hyperborea","Amblyraja radiata","Ammodytes","Anarhichas denticulatus","Anarhichas lupus","Anarhichas minor","Anisarchus medius","Arctozenus risso","Argentina silus","Argentina sphyraena","Arnoglossus imperialis","Arnoglossus laterna","Artediellus atlanticus","Bathyraja spinicauda","Belone belone","Blennius ocellaris","Boreogadus saida","Brosme brosme","Buglossidium luteum","Callionymus lyra","Callionymus maculatus","Callionymus reticulatus","Careproctus","Chelidonichthys cuculus","Chelidonichthys lastoviza","Chelidonichthys lucerna","Chimaera monstrosa","Ciliata mustela","Ciliata septentrionalis","Clupea harengus","Coelorinchus caelorhincus","Conger conger","Coryphaenoides rupestris","Ctenolabrus rupestris","Cyclopterus lumpus","Dicentrarchus labrax","Dipturus batis","Dipturus oxyrinchus","Echiichthys","Enchelyopus cimbrius","Engraulis","Entelurus aequoreus","Etmopterus spinax","Eumicrotremus spinosus","Eutrigla gurnardus","Gadiculus argenteus","Gadus morhua","Gaidropsarus","Galeorhinus galeus","Galeus melastomus","Gasterosteus aculeatus","Glyptocephalus cynoglossus","Gobiidae","Gymnammodytes semisquamatus","Gymnelus retrodorsalis","Helicolenus dactylopterus","Hippoglossoides platessoides","Hippoglossus hippoglossus","Hyperoplus immaculatus","Hyperoplus lanceolatus","Icelus bicornis","Labrus bergylta","Labrus mixtus","Lepidion eques","Lepidorhombus boscii","Lepidorhombus whiffiagonis","Leptagonus decagonus","Leptoclinus maculatus","Leucoraja circularis","Leucoraja fullonica","Leucoraja naevus","Limanda limanda","Liparis bathyarcticus","Liparis fabricii","Liparis liparis liparis","Lophius budegassa","Lophius piscatorius","Lumpenus lampretaeformis","Lycenchelys kolthoffi","Lycenchelys muraena","Lycodes esmarkii","Lycodes eudipleurostictus","Lycodes gracilis","Lycodes pallidus","Lycodes reticulatus","Lycodes rossi","Lycodes seminudus","Lycodes squamiventer","Macrourus berglax","Malacocephalus laevis","Mallotus villosus","Maurolicus muelleri","Melanogrammus aeglefinus","Merlangius merlangus","Merluccius merluccius","Microchirus variegatus","Micromesistius poutassou","Microstomus kitt","Molva dypterygia","Molva molva","Mullus barbatus barbatus","Mullus surmuletus","Mustelus","Myctophidae","Myoxocephalus scorpius","Pagellus bogaraveo","Pegusa lascaris","Petromyzon marinus","Pholis gunnellus","Phrynorhombus norvegicus","Phycis blennoides","Platichthys flesus","Pleuronectes platessa","Pollachius pollachius","Pollachius virens","Raja brachyura","Raja clavata","Raja montagui","Rajella fyllae","Rajella lintea","Reinhardtius hippoglossoides","Sardina pilchardus","Scomber scombrus","Scophthalmus maximus","Scophthalmus rhombus","Scorpaenidae","Scyliorhinus canicula","Scyliorhinus stellaris","Sebastes","Solea solea","Spondyliosoma cantharus","Sprattus sprattus","Squalus acanthias","Syngnathus acus","Trachinus draco","Trachurus trachurus","Trigla","Triglops murrayi","Triglops nybelini","Triglops pingelii","Trisopterus esmarkii","Trisopterus luscus","Trisopterus minutus","Zeugopterus punctatus","Zeus faber"
0,0,0,0,0.0618875765048112,0,0.0517597239965691,0.41674484029399,0.274330069990507,0,0,0.00263964480165903,0,0,0,0.414903467134478,0,0,0,0.108099769598645,0.101723061808476,0,0,0,0,0.0162315641617822,0,0,0,0,0,0,0,0,0,0.00637609729440388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6928454329435,0.0455121734979968,0,0,0,0,0,0,0.0478679808992799,0,0.237877045837464,0,0,0,0,0,0,0.00677488290889244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266805265714503,0,0,0.00319048243562196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10946832612531,0,0,0,0,0,0,0,0,0,0,0.00392790947743266,0,0,0,0,0,0,0.0263835060027434,0,0,0,0,0,0.0082964240367482,0,0,0,0,0,0,0,1.31904810155762,0,0,0,0,0,0,0,0,0.123817314259022,0,0,0,0,0,0,0
0,0,0,0,0.181413398873352,0.00082169775885707,0.000530685601533573,0.211326099011238,0.0453821443082411,0,0,0.460924797491916,0.000323999150881546,0,0,0,0,0,0,0,0.292224454578801,0,0,0,0,0,0,0,0,0.0174191332013526,0,0.00035313557610587,0.11489607290011,0.00281477327423426,0,0,0,0.0229966771945347,0,0.00151764628556398,0,0,0.0982742034651344,0,0,0.00347456666690662,0,0.0636437962504996,0.00672968554349474,0.351761423477442,0.00488862064486447,0,0,0,0.216352112499343,0,0,0,0.0202593226403039,0.634948234941087,0.00488298346372356,0,0,0.00690253209202765,0,0,0.0784946418545863,0,0.0744585730961182,0,0.0140431533061923,0,0,0,0.00722304238443599,0,0,0,0,0.0763745268408763,0.130999422078082,0,0,0,0,0.0340769310849604,0,0,0,0,0,0,0,0.0212945700852564,0.00126891051305888,0.505304808250193,0.166324490964978,0,0,0.184457730500983,0.248382482818122,0.0929392070582253,0.197559479265817,0,0,0,0.00360527206988967,0,0,0,0,0,0.00281166541236651,0.0313708040661129,0,0.0119172905702002,0,0.321310154710332,0,0,0,0.0353526518232451,0,0,0,0,0,0,0,0,0,2.26050936689984,0,0,0,0,0,0,0,0,0.0337634601687552,0,0,0.6976359814927,0,0,0,0
0,0,0,0.000301987533695484,0.187528383263479,0.00447788131394025,0.00884674302865383,0.488640467409709,0.124539513015707,0,0,0.155048748342978,0,0,0,0.00530265034567591,0,0,0,0.000912827020288456,0.215500058386006,0,0,0,0,0.00239220012723687,0,0,0,0,0,0.00419077290025093,0.154032679256474,0,0,0,0,0.0464039312580183,0,0.000719903675481909,0,0,0.0180343455819986,0,0.000342658954472895,0,0,0.00760096783580189,0,0.544867184113104,0.0186248708180542,0,0,0,0.0338322843154181,0,0,0,0.000223312102043375,0.567863489452873,0.0159906505689763,0,0,0.00692069898504631,0,0,0.00023729426451905,0,0.00273642722395302,0.000782296488342145,0.00441389101068861,0,0,0,0.0115433921984804,0,0.00203373240329316,0.0021748699290127,0,0.0414980104150339,0.0275000233791926,0,0.000135077314357971,0.00928373703778234,0.000580885269894444,0.0500102707258922,0,0,0,0,0,0,0,0.166043294821069,0,0.703595334683388,0.113237780732847,0,0,0.0178428643402928,0.306272746511073,0.0138515324913087,0.13734030041645,0,0,0,0.000382182127519987,0,0,0,0,0,0.0036528740331633,0.00554823015282598,0,0.0797226524631076,0,0.185729515009321,0,0,0,0.0097173470373741,0.000180025499623677,0.00509247951169334,0,0,0,0,0,0,0,1.75178486157949,0,0,0,0,0,0,0,0,0.143671014377738,0,0,0.573711967316836,0,0,0,0
0.00409426626362471,0,0,0,0.285328318752503,0.000694132307339004,0.00123837024625022,0.178580808060887,0.00802804444849308,0,0,0.259876769095846,0,0,0,0,0.000218493027035573,0,0,0,0.207149967394815,0,0,0,0,0,0,0,0,0.112827333395141,0,0.00541263552802748,0.0796688344422308,0.0261760721172492,0,0.002287653436025,0,0.0374966792499447,0,0.00538524185702946,0,0,0.136723719690748,0,0.000187238422932365,0.025094663319793,0,0.0451914407812409,0.0293720477126137,0.535336919663947,0.0077898880259887,0,0,0,0.389993419827096,0,0,0,0.0504565564724712,0.753760113995746,0.00581078056028772,0,0,0.00143626256336434,0,0,0.00819622414053097,0.00180269660093425,0.218850653575883,0.000171241479330862,0.00648820005668981,0,0,0,0.0715192558947082,0,0,0,0,0.102136501815839,0.0482626030608109,0,0,0,0,0.027519474016323,0,0,0,0,0,0.000295509954123903,0,0.0357990657425399,0,0.799072892269851,0.312178619916996,0,0,0.138188426353982,0.388847792041141,0.170632601789336,0.268162720796333,0,0,0,0,0,0,0,0,0,0.00613825279807024,0.0719710392145406,0,0.0713326851465767,0,0.385220782330988,0,0,0,0.000369542129139834,0.00187014595678421,0,0,0.000822334101745798,0,0,0,0,0,2.04893448312414,0,0,0,0.000895487906547119,0,0,0.000236607479778158,0,0.0330185412252636,0,0,0.809657421591914,0,0,0,0
0,0,0,0,0.286350453009599,0.00834926538018764,0.00489233994604509,0.570570896250969,0.115824199581298,0,0,0.0297877020642138,0,0,0,0.0406699567502632,0,0,0,0.00646703133828819,0.0549762009953961,0,0,0,0,0.00694523639906576,0,0,0,0,0.000156148210389355,0.00440935113787165,0.0532827143155538,0,0,0,0,0.145279538982691,0,0,0,0,0.021485676873652,0,0,0,0,0.000484412376453704,0,0.685174343059087,0.0325547753450382,0,0,0,0.0557337492002822,0,0,0.0042281045116746,0,0.638804426324179,0.0290332512576561,0,0,0.0102483270859314,0,0,9.57460902325139e-05,0,0.000335981467051159,0.0108713355797546,0.00140682297851383,0,0,0,0.109598025248086,0,0.00144513485875088,0.000994617152925914,0,0.0529187339387229,0.018960094359413,0.000900823404312001,0,0.00366869403990451,0.000568539551018057,0.086455006588296,0.00281200121252752,0.00144526953218757,0,0.000137105303422056,0,0,0,0.315490781041152,0.000141280103390415,0.821985425612195,0.0965637074425384,0,0,0.00362284320122914,0.236392921593544,0.00627124106937756,0.0575203783120517,0,0,0,0,0.000183585312074327,0,0,0,0,0.00212563977074445,0.000603972124519252,0,0.271669811762523,0,0.121874651044931,0,0,0,0,0,0.00113879529832563,0,0,0,0,0,0,0,1.34470963774298,0,0,0,0,0,0,0,0,0.218056624598644,0,0,0.200051864920197,0,0,0,0
0.0137217090247592,0,0,0,0.242277421070561,0.00482837460459092,0.000257733075230601,0.149692646777635,0,0,0,0.241962142144159,0,0,0,0,0,0,0,0,0.120774200300245,0,0.000652585788350885,0.00291867202415375,0,0,0,0,0,0.0324852075184045,0.000391460637949285,0.00225371875710357,0.21163994252299,0.0119712315504311,0,0.00742075418628498,0,0.0312094624690955,0,0.0325903053763143,0,0,0.102904354724516,0,0,0.0399848516179938,0,0.137964053346637,0.0961887773868341,0.46814645778628,0.00843820988309129,0,0,0,0.401858197856994,0,0,0,0.133451394669277,0.741938171735419,0.0285517726839345,0,0.00257769474312421,0.000303771338537317,0,0,0.0202857498584229,0.00112196649939379,0.310322324880009,0,0.00110038869568633,0,0,0,0.388548777589528,0,0,0,0,0.106526691524651,0.00333885951663321,0,0,0,0,0.00337350275978189,0,0,0,0,0,0,0,0.0860810564623773,0,0.799712819181088,0.507611701332125,0,0,0.259524930005357,0.344520673917329,0.104956477595841,0.274951340466135,0,0,0,0,0,0,0,0,0,0.00172393179324271,0.0889048590767493,0.000441089809532889,0.178413745582065,0,0.311185915257221,0,0,0,0,0,0,0,0.00460062477112103,0,0,0,0,0,1.60377045068045,0,0,0,0.000766764843176739,0,0,0.000390912484071716,0,0.00548066450759095,0,0,1.01088606890044,0,0,0,0
0,0,0,0.000991850725596463,0.439045850482561,0.00110261365884804,0.00174151659189789,0.480141918689114,0.130538313907546,0,0,0.0134222170574984,0,0,0,0.0713236204169014,0.000340578410808788,0,0,0.0275226115477581,0.0332257009958418,0,0,0,0,0.0372700493234734,0,0,0,0,0,0,0.0227234397250089,0,0,0,0,0.223823103153537,0,0.00353589552623677,0,0,0.00863784009359646,0,0,0,0,0.0022779871216071,0,0.840897927045663,0.0229050164140689,0,0,0,0.0606447752537191,0,0,0.0040502745518559,0,0.755195936744647,0.0140004651022586,0,0,0.00569082746036729,0,0,0,0,0,0.0583485356146224,0.00396956620503666,0,0,0,0.0233745594221123,0,0.000419943673215544,0.000288277163569337,0,0.0145402604851705,0.037459216087321,0.000494846096752682,0,0.0140522909802138,0.0379562130892596,0.226918943280258,0.0806970155294252,0.0386753914626957,0,0.0197161744521547,0,0,0,0.314464057399581,0,0.793571498304719,0.0821606758469209,0,0,0.00534727572281099,0.112705063309461,0.0130885488936426,0.014540851265193,0,0,0,0.00201981633669207,0,0,0,0,0,0,0,0,0.0945033135869339,0,0.128807348473116,0,0,0,0,0.00573944300605093,0.0201936145169508,0,0,0,0,0,0,0,1.05777185403576,0,0,0,0,0,0,0,0,0.131721331835573,0,0,0.0844169964392118,0,0,0,0
0,0,0,0.00132349614756058,0.371309751368817,0.0604351081009258,0,0.221437304009553,0,0,0,0.0181535164910537,0,0,0,0,0,0,0,0,0.0607040889902053,0,0,0,0,0,0,0,0,0.00202587852921952,0,0,0.13816750316188,0,0,0,0,0.0271779802581777,0,0.0336496250246296,0,0,0.0317669947587045,0,0,0,0,0.0801853006088611,0.00203668577150837,0.512312895694885,0.00228232538190093,0,0,0,0.254917037096651,0,0,0,0.0623032771312614,0.563392813856713,0.0368335739287368,0,0.0561004956770565,0,0,0,0,0,0.115131666740344,0,0,0,0,0,0.334744308842091,0,0,0,0,0.0825477534605536,0.00173748653927652,0,0,0,0,0,0,0,0,0,0,0,0,0.673314991706025,0,0.814402427132243,0.409302031158197,0,0,0.0617038742159737,0.615086064784426,0,0.23811547750276,0,0,0,0,0.00110835961052153,0,0,0,0,0,0.0045667244913527,0,0.115260630606237,0,0.221054561177397,0,0,0,0.00136738913582062,0.00188169243742029,0,0,0,0.00171690794576467,0,0,0,0,0.977968368339139,0,0,0,0.0144553575945885,0,0,0,0,0.00564971751412429,0,0,0.500109873998988,0,0,0,0
0,0,0,0.0135037437429708,0.501982992113928,0.000230421454790582,0.00274847172256036,0.31872039602738,0.131615142619957,0,0,0.0182316637008997,0,0,0,0.0413483059436383,0.000698549690402371,0,0,0.0257847944064298,0.024739985991562,0,0,0,0,0.101126576542794,0,0,0,0,0.000302086395799567,0,0.0147374402774558,0,0,0,0,0.169510142714887,0,0.000775830427420805,0,0,0.0487545496649571,0,0,0,0,0.000691821816610888,0,0.901160195071399,0.0219750766325234,0,0,0,0.162104654828734,0,0,0.00114498506045604,0,0.847495955445111,0.00263430351134069,0,0,0,0,0,0,0,0,0.0919445738427363,0.00395799210285831,0,0,0,0.00484601235339719,0,0.000622553739159219,0,0,0.00450342442619743,0.0324611172034953,0.00155123917915821,0,0.0721678215481454,0.106071183728005,0.254699783393083,0.0606751016503059,0.0606281524037718,0,0.0523151712260499,0,0.000421385594651251,0,0.200576561469103,0,0.799680520663716,0.111280456825507,0,0,0.00268855674992108,0.048532406762098,0.00773803493702087,0.00292138129306797,0,0,0,0.00180623953063587,0,0,0,0,0,0,0,0,0.0653387775076739,0,0.0927301638496173,0,0,0,0,0.00382297355821459,0.122017164302424,0,0,0,0,0,0,0,0.843040980415193,0,0,0,0,0,0,0,0,0.0422361511357397,0,0,0.0541758177641582,0,0,0,0
0,0,0,0,0,0,0,0.00251232924755008,0,0,0,0.13557199464499,0.811444509626924,0,0,0,0,0,0,0,0.0134524561995754,0,0.0109591261220956,0.0601079145463418,0,0,0,0,0,0.352998938996046,0.00919852897468658,0,0,0.164004750492431,0,0,0,0,0,0.121768416131562,0.0313678511585602,0,0,0,0,0.349211995176249,0,0.44856538110868,0.553159336420879,0,0,0,0.0899097922725081,0,0.385183500201012,0,0,0,0.655572752101595,0.593331753917543,0,0,0,0,0,0,0,0.138464644786125,0.691876956491635,0,0,0,0.00809365128044276,0,0,0,0,0,0.0069645005891808,0.19170743408916,0,0,0,0,0,0,0,0,0,0,0,0,0.182265020314052,0,0.115845594396177,1.06585652535311,0.00323346435123711,0.00901182679973452,0.0888623075412727,1.62031971859881,0.41970697988884,0.00974922285857546,0.102453322559073,0,0,0,0,0,0,0,0,0,0,0.0618592607218992,0,0,0,0.0062747611526918,0,0.00290558283994438,0,0,0,0,0,0.0633798005801098,0,0,0,0,0,0.35564518885358,0,0,0,0.00404079816835628,0,0,0.00698674292592924,0,0,0,0,0,0,0.020157155936535,0,0
