"family","genus","species","taxon","habitat","feeding.mode","tl","offspring.size","spawning.type","age.maturity","fecundity","length.infinity","growth.coefficient","length.max","age.max"
"Clupeidae","Sardina","pilchardus","Sardina pilchardus","pelagic","planktivorous",3.06,1.3,"non-guarder",1.7,169000,20,0.36,27,14
"Clupeidae","Spratelloides","lewisi","Spratelloides lewisi","pelagic","planktivorous",3.02,1.14,"non-guarder",2.7,28695,7,5.1,7,0.3
"Clupeidae","Sprattus","sprattus","Sprattus sprattus","pelagic","planktivorous",3.01,1.1,"non-guarder",2,14630,15,0.6,15,6
"Clupeidae","","","Clupeidae","pelagic","",3.35,1.14,"non-guarder",2.7,28695,26,0.35,48,12
"Congridae","Conger","conger","Conger conger","demersal","piscivorous",4.31,2.58,"non-guarder",10,5500000,229,0.07,180,20
"Congridae","Conger","","Conger","demersal","generalist",4.16,2.58,"non-guarder",10,5500000,229,0.07,95,16.7
"Congridae","Gnathophis","mystax","Gnathophis mystax","demersal","benthivorous",3.48,2.75,"non-guarder",10,5500000,229,0.07,60,16.7
"Congridae","","","Congridae","demersal","generalist",3.87,2.06,"non-guarder",10,5500000,229,0.07,95,16.7
"Cottidae","Archistes","biseriatus","Archistes biseriatus","demersal","generalist",3.56,1.96,"guarder",3.9,23012,63,0.14,16,9.6
"Cottidae","Archistes","plumarius","Archistes plumarius","demersal","generalist",3.56,1.96,"guarder",3.9,23012,22,0.19,7,9.6
"Cottidae","Artediellus","atlanticus","Artediellus atlanticus","demersal","benthivorous",3.42,2.25,"non-guarder",3.5,62,19,0.15,14,10
"Cottidae","Artediellus","miacanthus","Artediellus miacanthus","demersal","benthivorous",3.19,2.25,"non-guarder",3.5,196,19,0.15,13,10
"Cottidae","Artediellus","pacificus","Artediellus pacificus","demersal","benthivorous",3.19,2.25,"non-guarder",3.5,196,19,0.15,6,10
"Cottidae","Bolinia","euryptera","Bolinia euryptera","bathydemersal","benthivorous",3.56,1.96,"",3.9,27117,63,0.14,19,9.6
"Cottidae","Enophrys","diceraus","Enophrys diceraus","demersal","generalist",3.83,1.96,"guarder",3.9,23012,22,0.19,32,9.6
"Cottidae","Enophrys","lucasi","Enophrys lucasi","demersal","generalist",3.83,1.96,"guarder",3.9,23012,63,0.14,20,9.6
"Cottidae","Gymnocanthus","galeatus","Gymnocanthus galeatus","demersal","generalist",3.3,1.96,"",5.5,27441,56,0.11,36,13
"Cottidae","Gymnocanthus","pistilliger","Gymnocanthus pistilliger","demersal","benthivorous",3.06,1.96,"",5.5,21636,22,0.23,20,12
"Cottidae","Gymnocanthus","tricuspis","Gymnocanthus tricuspis","demersal","benthivorous",3.46,1.96,"non-guarder",3,4222,35,0.15,30,9
"Cottidae","Gymnocanthus","","Gymnocanthus","demersal","benthivorous",3.3,1.96,"",5.5,21636,20,0.29,30,9.3
"Cottidae","Hemilepidotus","gilberti","Hemilepidotus gilberti","demersal","generalist",3.58,1.55,"guarder",6,52000,38,0.12,37,12
"Cottidae","Hemilepidotus","hemilepidotus","Hemilepidotus hemilepidotus","demersal","generalist",3.53,1.55,"guarder",5,52000,38,0.12,51,10.8
"Cottidae","Hemilepidotus","jordani","Hemilepidotus jordani","bathydemersal","generalist",3.83,1.55,"guarder",5,52000,38,0.12,53,13
"Cottidae","Hemilepidotus","papilio","Hemilepidotus papilio","demersal","benthivorous",3.5,1.55,"guarder",5,52000,38,0.12,30,10.8
"Cottidae","Hemilepidotus","zapus","Hemilepidotus zapus","demersal","benthivorous",3.65,1.55,"guarder",4.5,52000,38,0.12,26,9
"Cottidae","Icelinus","borealis","Icelinus borealis","demersal","benthivorous",3.6,1.96,"",3.9,23012,63,0.14,10,9.6
"Cottidae","Icelinus","","Icelinus","demersal","benthivorous",3.51,1.96,"",3.9,28392,27,0.18,13,9.6
"Cottidae","Icelus","bicornis","Icelus bicornis","demersal","benthivorous",3.13,1.96,"non-guarder",2,15166,27,0.14,16,8
"Cottidae","Icelus","canaliculatus","Icelus canaliculatus","demersal","benthivorous",3.62,1.96,"non-guarder",2,38565,27,0.14,21,9
"Cottidae","Icelus","euryops","Icelus euryops","bathydemersal","benthivorous",3.62,1.96,"non-guarder",2,23012,27,0.14,15,8
"Cottidae","Icelus","spatula","Icelus spatula","demersal","benthivorous",3.92,1.96,"non-guarder",2,26851,27,0.14,21,7
"Cottidae","Icelus","spiniger","Icelus spiniger","demersal","benthivorous",3.63,1.96,"non-guarder",2,26851,29,0.13,24,8
"Cottidae","Icelus","uncinalis","Icelus uncinalis","demersal","benthivorous",3.62,1.96,"non-guarder",2,23012,27,0.14,16,9
"Cottidae","Icelus","","Icelus","demersal","benthivorous",3.62,1.96,"non-guarder",2,26851,27,0.14,16,8
"Cottidae","Jordania","zonope","Jordania zonope","demersal","benthivorous",3.37,1.96,"guarder",3.9,23012,63,0.14,15,9.6
"Cottidae","Leptocottus","armatus","Leptocottus armatus","demersal","generalist",3.68,1.96,"guarder",1,27117,63,0.14,46,10
"Cottidae","Micrenophrys","lilljeborgii","Micrenophrys lilljeborgii","demersal","generalist",3.79,2,"non-guarder",3.9,31696,25,0.27,7,6.3
"Cottidae","Microcottus","sellaris","Microcottus sellaris","demersal","generalist",3.52,1.96,"",3.9,23012,22,0.19,13,9.6
